week;Time
0;50,88394620462047
1;44,98980628742514
2;49,92339347517729
3;53,51017977053138
4;53,196878344671184
5;51,71929267473118
6;53,41866157965197
7;48,58884789115641
8;49,26803963178296
9;48,689047201946465
10;53,27512773333336
11;62,60018205128205
